Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),q0,q1,q2,q3
21:11:57.673,0.8101,-0.3613,0.0981,-6.4087,46.3867,-20.3247,-89.8022,-77.7777,-80.9363,0.13177,-0.70657,0.01828,-0.69495
21:11:57.680,1.5674,-0.1099,0.1807,-13.7939,26.5503,-1.3428,-87.6874,-77.8931,-82.9907,0.13159,-0.70386,0.01736,-0.69775
21:11:57.683,1.3862,-0.4443,0.4736,5.4321,96.0693,12.7563,-82.793,-77.4646,-87.6874,0.13538,-0.69714,0.0188,-0.7037
21:11:57.703,2.4233,-0.3237,0.1289,0.6104,332.6416,2.9907,-64.9951,-75.943,-105.5566,0.13885,-0.6694,0.02341,-0.72937
21:11:57.723,0.9473,-0.2808,-0.124,14.8315,441.4063,16.4185,-42.5116,-70.719,-128.3752,0.14203,-0.61426,0.03134,-0.77554
21:11:57.785,0.4702,-0.2744,-0.0107,27.832,394.8975,16.6626,-31.0803,-64.0668,-139.9219,0.1463,-0.55789,0.03827,-0.81595
21:11:57.794,0.3672,-0.0859,0.5669,21.1182,282.2266,21.4233,-25.7959,-58.4637,-145.1569,0.1506,-0.51248,0.04333,-0.84421
21:11:57.794,0.3618,-0.0454,0.7578,2.4414,170.5933,24.7803,-23.5876,-54.657,-147.2937,0.15475,-0.48236,0.0477,-0.86081
21:11:57.821,0.0332,-0.3335,0.8804,-3.6011,111.8164,28.9917,-23.302,-52.262,-147.431,0.1611,-0.46487,0.0531,-0.8689
21:11:57.821,0.8735,-0.3086,-0.2002,-5.0049,76.355,-19.3481,-22.8625,-50.9052,-147.9584,0.16232,-0.45425,0.05576,-0.87411
21:11:57.843,1.0439,-0.1201,0.8008,56.2134,176.3306,-27.0386,-20.0665,-48.2739,-150.26,0.16168,-0.42996,0.05032,-0.88675
21:11:57.861,1.0171,-0.0586,1.3667,9.7656,247.4365,-14.8926,-17.8638,-44.6759,-152.2815,0.16156,-0.39893,0.04947,-0.90121
21:11:57.883,0.9453,-0.0439,0.5269,27.3438,396.3623,-13.855,-15.4742,-38.3148,-155.1324,0.15833,-0.34491,0.0542,-0.92352
21:11:57.904,0.2935,-0.3052,0.6328,27.771,421.6919,-9.3994,-13.3044,-30.3772,-157.7252,0.15533,-0.27692,0.05942,-0.94632
21:11:57.925,-0.3442,-0.1875,0.6851,30.1514,324.9512,2.6245,-11.9037,-23.4943,-159.3622,0.15359,-0.21741,0.06363,-0.96176
21:11:57.942,-1.1587,0.3721,0.7583,62.6221,133.1787,22.1558,-10.8765,-19.2755,-159.9664,0.15506,-0.18039,0.06302,-0.96921
21:11:57.985,-0.2334,-0.2461,0.833,6.6528,-3.8452,-8.9722,-10.415,-18.5065,-159.9719,0.15646,-0.17331,0.06036,-0.97043
21:11:57.985,0.2002,-0.2627,0.7163,-8.1177,-13.3057,-4.0894,-10.5579,-18.8635,-159.906,0.15643,-0.17654,0.06091,-0.96982
21:11:58.012,0.8062,0.334,2.0903,-20.4468,41.9312,-13.0615,-10.5084,-18.3142,-160.1477,0.15506,-0.17169,0.06174,-0.97086
21:11:58.021,1.5244,-0.4634,1.0361,2.5024,316.5283,5.188,-10.7391,-14.2493,-160.8893,0.1525,-0.13718,0.07108,-0.9761
21:11:58.042,-0.1045,-0.1001,0.877,-0.1831,384.3994,8.0566,-10.3876,-6.8719,-162.2021,0.14838,-0.07294,0.08005,-0.98294
21:11:58.068,0.0635,-0.2559,0.1069,8.4839,388.0615,-3.479,-10.3326,0.1538,-163.4656,0.14328,-0.0116,0.08932,-0.98553
21:11:58.083,-0.8984,-0.0317,1.1216,29.6631,318.4814,24.231,-9.9097,7.4707,-164.6741,0.13809,0.05283,0.09409,-0.98447
21:11:58.105,-1.3252,-0.0313,0.9526,-16.2964,111.9385,6.7139,-9.9426,10.9808,-165.0861,0.13687,0.08331,0.09793,-0.98215
21:11:58.150,-0.5034,-0.1694,0.7646,-21.3623,126.2207,9.5215,-10.5304,13.1177,-165.5804,0.13452,0.10141,0.10474,-0.98007
21:11:58.158,-0.0669,-0.3613,0.4146,1.2817,108.2764,0.8545,-10.7886,15.2985,-166.1682,0.13123,0.12033,0.10849,-0.97797
21:11:58.201,-0.3369,-0.1572,0.7231,45.3491,206.543,-2.8687,-10.3601,18.3746,-166.9812,0.12576,0.14789,0.1066,-0.97513
21:11:58.201,-0.147,-0.0605,0.752,32.8369,285.9497,-4.6997,-10.058,23.3569,-168.3875,0.1163,0.19193,0.1058,-0.96869
21:11:58.203,-0.4932,-0.1436,0.4004,36.0107,357.4829,-2.7466,-10.0525,29.8169,-170.0684,0.10574,0.24799,0.10654,-0.957
21:11:58.221,-0.9473,0.0171,0.5117,38.269,328.3691,7.8125,-10.0854,36.524,-171.8152,0.09494,0.30539,0.10553,-0.94153
21:11:58.241,-1.1421,-0.0781,0.4097,16.4185,265.3809,19.8364,-10.1788,42.1765,-173.0457,0.08817,0.35272,0.10434,-0.92566
21:11:58.260,-2.0376,-0.1992,-0.4541,38.0859,156.0059,15.9302,-10.1898,46.4117,-174.0674,0.08228,0.38773,0.10181,-0.91235
21:11:58.282,-0.7671,-0.4385,-0.1045,45.4102,88.0737,8.606,-9.6735,48.642,-174.7925,0.07593,0.40646,0.09537,-0.90543
21:11:58.308,-0.5176,0.0728,0.5493,58.0444,64.7583,22.7051,-8.5144,50.2405,-175.0671,0.07031,0.42004,0.08536,-0.9007
21:11:58.319,-1.9727,0.2041,1.1074,-18.6157,77.9419,-18.1274,-8.5419,51.795,-175.8307,0.06509,0.43283,0.08276,-0.89526
21:11:58.340,0.3462,-0.353,0.1084,-25.0854,200.3784,-39.7339,-10.5634,54.4043,-178.0389,0.05719,0.45374,0.08963,-0.8847
21:11:58.363,0.1611,-0.521,-0.189,30.0903,438.4155,-24.5972,-13.7219,60.9302,177.6929,0.04337,0.50534,0.09283,-0.85675
21:11:58.380,-1.0132,-0.1431,0.021,41.9312,491.8213,-23.4375,-20.7532,70.1422,168.7885,0.02438,0.57687,0.09149,-0.81128
21:11:58.425,-2.2339,0.0244,-0.1079,9.8877,314.3921,-20.5688,-33.5797,76.767,154.6655,0.01047,0.62964,0.09058,-0.77145
21:11:58.425,-1.1978,-0.0479,-0.1753,1.8921,217.4683,-29.4189,-51.2952,79.986,136.0822,-0.00018,0.66132,0.09094,-0.74451
21:11:58.440,-1.0693,-0.0254,-0.2866,-0.6714,167.0532,-31.0669,-72.5153,81.2054,114.1479,-0.00964,0.68454,0.09167,-0.72305
21:11:58.459,-0.9473,-0.4468,-0.1626,2.8076,117.7368,-15.8691,-91.4227,81.0571,94.6802,-0.01752,0.70236,0.09262,-0.70547
21:11:58.509,-0.0088,0.3135,-0.0483,-3.1738,100.8911,26.001,-102.486,81.0242,82.9907,-0.02078,0.71347,0.08823,-0.69473
21:11:58.534,-0.9971,-0.0894,-0.7891,14.9536,191.9556,29.1748,-121.9647,80.4199,62.8033,-0.02197,0.73312,0.08066,-0.67487
21:11:58.538,-0.645,0.022,-0.4248,13.0615,246.0327,13.4888,-140.8282,77.6074,42.8851,-0.02728,0.76013,0.07285,-0.64502
21:11:58.540,-0.625,-0.0269,-0.6201,10.8032,287.3535,12.085,-152.9956,73.0426,29.718,-0.0329,0.79086,0.0661,-0.60742
21:11:58.559,-1.0425,-0.0444,-0.6987,5.7373,251.4648,22.8271,-160.0598,68.1757,21.7365,-0.03668,0.81931,0.05853,-0.56909
21:11:58.580,-1.3882,-0.1182,-0.873,-0.9766,154.1748,21.6675,-163.8611,64.7479,17.2595,-0.0376,0.83798,0.05118,-0.5419
21:11:58.600,-1.1743,-0.2412,-0.7939,2.8076,103.2715,3.418,-165.5475,62.4847,15.0183,-0.03931,0.8494,0.04617,-0.52417
21:11:58.652,-0.4409,-0.2197,-0.4497,4.5166,32.7148,13.855,-166.2451,61.2982,13.8098,-0.04138,0.85522,0.04211,-0.5148
21:11:58.669,-0.4502,-0.1938,-0.4868,-3.0518,23.4375,27.9541,-167.2229,60.7379,12.3926,-0.04117,0.85846,0.03662,-0.50983
21:11:58.669,-0.8179,-0.6294,-1.3213,33.1421,133.3618,-9.8267,-167.8931,59.3921,10.9973,-0.04395,0.86481,0.03076,-0.49911
21:11:58.709,-0.8267,0.0205,-0.5156,27.0386,159.5459,-25.3296,-167.6129,56.1127,10.3271,-0.0527,0.8783,0.02841,-0.47427
21:11:58.721,0.168,-0.2285,-0.7012,25.0244,273.4985,-27.6489,-167.7997,51.5973,9.3054,-0.06021,0.89597,0.02652,-0.43909
21:11:58.721,-0.1289,-0.1855,-1.0562,34.4849,430.2368,-5.8594,-168.5632,43.9948,7.2839,-0.06848,0.92303,0.02136,-0.37781
21:11:58.737,-1.583,-0.1235,-1.4268,42.7246,315.7349,-28.1982,-168.6786,36.6504,5.4987,-0.07846,0.94501,0.01437,-0.31699
21:11:58.757,-0.5581,-0.1885,-1.0771,39.2456,177.9785,-29.48,-168.0798,32.2064,5.0153,-0.08755,0.95587,0.01303,-0.27997
21:11:58.803,-0.3745,-0.248,-1.001,34.3018,122.5586,-24.6582,-167.4207,29.3665,4.7076,-0.09549,0.96179,0.01175,-0.25607
21:11:58.803,-0.2573,-0.3076,-0.6479,21.8506,75.8057,-9.8267,-166.9263,27.5592,4.3671,-0.10144,0.96518,0.00967,-0.24066
21:11:58.818,0.2832,-0.0029,-0.4902,-5.8594,52.063,-3.418,-166.9153,26.3947,4.0594,-0.10275,0.96753,0.00827,-0.23062
21:11:58.838,0.1958,-0.0889,-1.0454,-27.2827,99.3042,7.2632,-167.5415,25.0598,3.3728,-0.09949,0.97064,0.00504,-0.21872
21:11:58.872,0.708,-0.1733,-1.2363,-10.6201,231.0181,1.709,-168.2556,21.4783,2.417,-0.09656,0.97748,0.00153,-0.18744
21:11:58.898,0.5479,-0.1313,-1.1641,8.9722,381.6528,1.5869,-168.6841,14.9634,1.0162,-0.09653,0.98669,-0.00406,-0.13046
21:11:58.919,-0.0742,-0.1484,-1.3223,15.7471,384.0332,7.9346,-168.7335,7.0148,-0.5548,-0.09821,0.99323,-0.01083,-0.06039
21:11:58.920,-0.6025,-0.168,-1.1035,8.5449,273.4375,1.0986,-168.5632,0.835,-1.9226,-0.0997,0.99481,-0.01743,-0.00562
21:11:58.940,-0.3721,-0.2363,-0.8936,-7.2632,135.2539,-9.3384,-168.6346,-2.774,-2.5598,-0.09839,0.99457,-0.01984,0.02631
21:11:58.965,-0.0522,-0.3037,-0.9097,-27.0996,-9.7656,4.6997,-169.0796,-3.186,-2.8125,-0.09436,0.99481,-0.02179,0.03
21:11:58.977,0.4331,-0.0547,-1.0337,-46.6309,-14.8315,-21.1182,-169.6289,-2.6202,-2.6971,-0.08975,0.99536,-0.02136,0.02493
21:11:59.021,0.7622,-0.5,-1.6104,13.7329,45.105,-10.1318,-169.5795,-2.9883,-2.6532,-0.09012,0.99527,-0.02069,0.02808
21:11:59.021,1.9546,-0.4619,-0.752,36.6821,229.0039,-19.5923,-169.0302,-6.1469,-2.84,-0.09409,0.99377,-0.0195,0.05573
21:11:59.037,1.2217,-0.0957,-1.1978,34.4849,390.1978,-8.3008,-167.7997,-12.3926,-3.8727,-0.10193,0.98831,-0.02194,0.11081
21:11:59.058,-0.6323,-0.2373,-1.1875,69.8853,339.9048,24.9023,-165.8386,-19.7589,-5.8887,-0.11249,0.97742,-0.02908,0.1763
21:11:59.080,0.2495,-0.1235,-0.8555,8.8501,258.667,-20.874,-164.8883,-25.2081,-7.0587,-0.11472,0.96732,-0.03091,0.22382
21:11:59.107,0.6704,-0.2715,-0.9258,29.6021,225.8911,-2.6855,-163.96,-29.6851,-8.1299,-0.11652,0.95724,-0.0322,0.26257
21:11:59.117,0.6084,-0.2163,-0.666,28.8696,156.7383,1.6479,-162.7789,-33.1348,-9.2065,-0.12036,0.948,-0.03351,0.29251
21:11:59.139,0.3257,-0.2314,-0.4521,23.9258,77.2705,6.7139,-161.7133,-35.0739,-9.9481,-0.12512,0.94196,-0.03394,0.30951
21:11:59.165,0.4868,-0.1274,-0.4341,-7.9956,9.7046,2.1362,-161.4661,-35.4474,-10.1184,-0.12625,0.9407,-0.03409,0.31281
21:11:59.177,1.4741,-0.2124,-0.6953,-17.0898,138.6108,-34.1797,-161.7847,-37.1393,-10.0085,-0.12198,0.93677,-0.03146,0.32635
21:11:59.200,1.7192,-0.1826,-0.437,-3.1738,231.0181,-4.5776,-161.1969,-40.8691,-10.9369,-0.11954,0.92566,-0.03131,0.35748
21:11:59.263,1.439,-0.2207,-0.6665,13.1226,365.2954,-1.5869,-159.0491,-46.9501,-13.5461,-0.11932,0.90414,-0.03445,0.40866
21:11:59.263,0.8076,-0.2451,-0.6655,27.0386,369.6289,7.8125,-155.0391,-54.0033,-17.9242,-0.12109,0.87454,-0.03864,0.46786
21:11:59.263,0.1807,-0.3184,-0.4194,23.9258,290.8936,2.4414,-149.8425,-59.6832,-23.2251,-0.12427,0.84641,-0.04181,0.51605
21:11:59.292,-0.3423,-0.0996,0.3018,-73.1201,69.8242,-21.0571,-147.2223,-62.6276,-26.2518,-0.12146,0.83145,-0.0433,0.54031
21:11:59.296,0.7842,-0.7905,-1.104,-22.9492,37.9028,-32.8369,-148.3704,-63.869,-25.8398,-0.11157,0.82803,-0.04208,0.54776
21:11:59.319,1.4033,-0.2402,-0.2222,-2.7466,-40.5884,-6.6528,-149.8151,-63.3636,-24.2194,-0.11017,0.83197,-0.03867,0.5423
21:11:59.343,2.6382,-0.4492,0.1411,-1.2207,62.5,8.4229,-149.6228,-63.4186,-24.1919,-0.1116,0.83157,-0.03738,0.54269
21:11:59.357,1.2817,-0.2886,0.1187,25.4517,305.4199,36.1328,-141.8555,-67.132,-31.8384,-0.11844,0.80682,-0.04227,0.57715
21:11:59.378,1.1914,-0.1987,-0.5864,12.6343,437.1338,12.6343,-125.9143,-72.29,-48.1805,-0.1207,0.76602,-0.04874,0.62943
21:11:59.398,0.4219,-0.2065,-0.4956,22.3389,327.7588,20.3247,-102.1289,-74.8499,-72.0978,-0.12527,0.72415,-0.05472,0.67587
21:11:59.444,0.7412,-0.3042,0.1079,21.3623,245.4834,25.0244,-82.3975,-74.6686,-91.8402,-0.12915,0.69211,-0.05881,0.70764
21:11:59.444,0.7539,-0.21,0.2593,25.7568,199.5239,24.5361,-68.4723,-73.1799,-105.5457,-0.13449,0.66565,-0.06155,0.73138
21:11:59.456,0.4351,-0.2212,0.6431,16.6626,142.2119,26.2451,-60.2051,-71.4661,-113.5437,-0.13974,0.64572,-0.06369,0.74789
21:11:59.475,0.1675,-0.3179,0.3052,0.2441,129.7607,4.2114,-54.1461,-69.7906,-119.5038,-0.14288,0.62805,-0.06589,0.76202
21:11:59.499,0.3774,-0.2241,0.0049,22.9492,91.6138,-27.2827,-49.8285,-68.8788,-123.7225,-0.14264,0.61612,-0.06445,0.77188
21:11:59.523,0.9961,-0.3848,-0.2417,59.4482,187.7441,-71.8994,-41.7975,-67.6978,-131.2866,-0.13892,0.59622,-0.05527,0.78873
21:11:59.535,1.0298,0.0708,0.8037,78.7354,236.6943,-70.2515,-31.5857,-65.0446,-140.5426,-0.13608,0.56442,-0.04138,0.81308
21:11:59.558,1.1694,-0.0688,1.4688,51.0864,202.0264,-42.2974,-24.5325,-61.8585,-146.7554,-0.13507,0.53339,-0.03098,0.83438
21:11:59.584,1.1064,-0.0684,1.1079,7.0801,246.0938,-18.1885,-20.6708,-58.1781,-150.4742,-0.13464,0.50244,-0.02972,0.85349
21:11:59.613,0.7173,-0.1465,0.4927,9.7656,295.6543,-10.7422,-17.2485,-52.7509,-154.1382,-0.13321,0.45813,-0.03265,0.87817
