[DEBUG] [2022-11-18 22:57:40] AbstractApplicationContext.prepareRefresh(629) | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@7a0ac6e3
[DEBUG] [2022-11-18 22:57:40] XmlBeanDefinitionReader.doLoadBeanDefinitions(393) | Loaded 3 bean definitions from class path resource [applicationContext.xml]
[DEBUG] [2022-11-18 22:57:40] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'defaultConfigProperty'
[DEBUG] [2022-11-18 22:57:40] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'defaultConfigOption'
[DEBUG] [2022-11-18 22:57:40] CryptoMaterialConfig.<init>(137) | Load cryptoMaterial, caCertPath: conf/ca.crt, sdkCertPath: conf/sdk.crt, sdkPrivateKeyPath:conf/sdk.key, enSSLCertPath: null, enSSLPrivateKeyPath:null
[DEBUG] [2022-11-18 22:57:40] InternalLoggerFactory.useSlf4JLoggerFactory(63) | Using SLF4J as the default logging framework
[DEBUG] [2022-11-18 22:57:40] NetUtil.<clinit>(136) | -Djava.net.preferIPv4Stack: false
[DEBUG] [2022-11-18 22:57:40] NetUtil.<clinit>(137) | -Djava.net.preferIPv6Addresses: false
[DEBUG] [2022-11-18 22:57:40] NetUtilInitializations.determineLoopback(129) | Loopback interface: lo0 (lo0, 0:0:0:0:0:0:0:1%lo0)
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.explicitNoUnsafeCause0(495) | -Dio.netty.noUnsafe: false
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.javaVersion0(998) | Java version: 16
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.<clinit>(136) | sun.misc.Unsafe.theUnsafe: available
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.<clinit>(160) | sun.misc.Unsafe.copyMemory: available
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.<clinit>(192) | sun.misc.Unsafe.storeFence: available
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.<clinit>(235) | java.nio.Buffer.address: available
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.<clinit>(319) | direct buffer constructor: unavailable: Reflective setAccessible(true) disabled
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.<clinit>(384) | java.nio.Bits.unaligned: available, true
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.<clinit>(451) | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$7 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @5bb4f7d1
[DEBUG] [2022-11-18 22:57:40] PlatformDependent0.<clinit>(481) | java.nio.DirectByteBuffer.<init>(long, int): unavailable
[DEBUG] [2022-11-18 22:57:40] PlatformDependent.unsafeUnavailabilityCause0(1120) | sun.misc.Unsafe: available
[DEBUG] [2022-11-18 22:57:40] PlatformDependent.estimateMaxDirectMemory(1231) | maxDirectMemory: 4294967296 bytes (maybe)
[DEBUG] [2022-11-18 22:57:40] PlatformDependent.tmpdir0(1250) | -Dio.netty.tmpdir: /var/folders/rc/fnqhpbkd16z6v2b00r9wk_xr0000gn/T (java.io.tmpdir)
[DEBUG] [2022-11-18 22:57:40] PlatformDependent.bitMode0(1329) | -Dio.netty.bitMode: 64 (sun.arch.data.model)
[DEBUG] [2022-11-18 22:57:40] PlatformDependent.isOsx0(1088) | Platform: MacOS
[DEBUG] [2022-11-18 22:57:40] PlatformDependent.<clinit>(178) | -Dio.netty.maxDirectMemory: -1 bytes
[DEBUG] [2022-11-18 22:57:40] PlatformDependent.<clinit>(185) | -Dio.netty.uninitializedArrayAllocationThreshold: -1
[DEBUG] [2022-11-18 22:57:40] CleanerJava9.<clinit>(71) | java.nio.ByteBuffer.cleaner(): available
[DEBUG] [2022-11-18 22:57:40] PlatformDependent.<clinit>(205) | -Dio.netty.noPreferDirect: false
[DEBUG] [2022-11-18 22:57:40] NetUtil$SoMaxConnAction.run(191) | Failed to get SOMAXCONN from sysctl and file /proc/sys/net/core/somaxconn. Default: 128
[DEBUG] [2022-11-18 22:57:40] ThreadPoolConfig.<init>(54) | Init ThreadPoolConfig, channelProcessorThreadSize: 16, receiptProcessorThreadSize: 16, maxBlockingQueueSize: 102400
[DEBUG] [2022-11-18 22:57:40] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'bcosSDK'
[DEBUG] [2022-11-18 22:57:40] ResourceLeakDetector.<clinit>(129) | -Dio.netty.leakDetection.level: simple
[DEBUG] [2022-11-18 22:57:40] ResourceLeakDetector.<clinit>(130) | -Dio.netty.leakDetection.targetRecords: 4
[DEBUG] [2022-11-18 22:57:40] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@77f80c04
[DEBUG] [2022-11-18 22:57:40] PlatformDependent$Mpsc.<clinit>(971) | org.jctools-core.MpscChunkedArrayQueue: available
[DEBUG] [2022-11-18 22:57:41] InternalThreadLocalMap.<clinit>(86) | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
[DEBUG] [2022-11-18 22:57:41] InternalThreadLocalMap.<clinit>(89) | -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
[INFO] [2022-11-18 22:57:41] ConnectionManager.<init>(88) |  all connections, size: 2, list: [ConnectionInfo{host='127.0.0.1', port=20200}, ConnectionInfo{host='127.0.0.1', port=20201}]
[INFO] [2022-11-18 22:57:41] NetworkImp.start(167) | 
* TRACE INFORMATION:
----------------------------
====> STEP1: try to connect nodes with ecdsa context...

[INFO] [2022-11-18 22:57:41] NetworkImp.start(174) | ====> <==== STEP1-1: Load certificates for ecdsa context success..., start connManager with ECDSA sslContext
[DEBUG] [2022-11-18 22:57:41] ConnectionManager.startConnect(99) |  start connect. 
[DEBUG] [2022-11-18 22:57:41] MultithreadEventLoopGroup.<clinit>(44) | -Dio.netty.eventLoopThreads: 16
