"Time(s)","ax(g)","ay(g)","az(g)","wx(deg/s)","wy(deg/s)","wz(deg/s)","AngleX(deg)","AngleY(deg)","AngleZ(deg)","T(°)","Voltage(v)","q0","q1","q2","q3","label:rotate_direction","label:rotate_velocity","label:cantainer_volume","label:liquid_volume"
" 15:20:39.944","-0.0449","-0.772","0.6494","-0.6104","0.3052","-0.2441","-50.9711","3.8782","-60.0293","27.16","3.62","-0.78842","0.35709","-0.24158","0.43863","0","0","0","1"
" 15:20:39.944","-0.0586","-0.7603","0.6499","-0.1221","0.5493","0.3662","-50.9656","3.8782","-60.0458","27.16","3.62","-0.78839","0.35696","-0.24161","0.43878","0","0","0","1"
" 15:20:39.944","-0.0625","-0.7441","0.6499","-0.9766","0.2441","0.6104","-50.9601","3.8892","-60.0568","27.22","3.62","-0.78836","0.3569","-0.2417","0.43884","0","0","0","1"
" 15:20:39.960","-0.0615","-0.7441","0.6499","-2.0142","-0.061","0.4883","-50.9766","3.8892","-60.0623","27.22","3.62","-0.7883","0.35699","-0.24179","0.43881","0","0","0","1"
" 15:20:39.984","-0.0547","-0.7485","0.646","-2.9297","-0.1221","0.3662","-51.0095","3.8892","-60.0623","27.24","3.62","-0.78818","0.35721","-0.24191","0.43878","0","0","0","1"
" 15:20:39.997","-0.0605","-0.7759","0.6343","-2.3804","0","0","-51.048","3.8837","-60.0732","27.14","3.62","-0.78802","0.35745","-0.24203","0.43878","0","0","0","1"
" 15:20:40.024","-0.0674","-0.7876","0.6343","-1.1597","-0.1831","-0.4272","-51.0645","3.8727","-60.0842","27.16","3.62","-0.7879","0.3576","-0.24207","0.43887","0","0","0","1"
" 15:20:40.048","-0.0649","-0.7773","0.6426","0.061","-0.4272","-0.1831","-51.0535","3.8617","-60.0897","27.24","3.62","-0.7879","0.35757","-0.24197","0.43896","0","0","0","1"
" 15:20:40.056","-0.063","-0.7456","0.6523","-0.1221","-0.061","-0.3052","-51.037","3.8507","-60.1007","27.16","3.62","-0.7879","0.35748","-0.24185","0.43909","0","0","0","1"
" 15:20:40.077","-0.0591","-0.7275","0.6611","-2.1362","0.3662","-0.3662","-51.048","3.8452","-60.1172","27.21","3.62","-0.78778","0.35757","-0.24191","0.43921","0","0","0","1"
" 15:20:40.132","-0.0566","-0.728","0.6538","-4.6997","1.0376","-0.5493","-51.1029","3.8397","-60.1447","27.17","3.62","-0.78751","0.35788","-0.24219","0.43927","0","0","0","1"
" 15:20:40.132","-0.0649","-0.7505","0.6357","-7.3853","1.0376","-0.7324","-51.2128","3.8397","-60.1776","27.18","3.62","-0.78705","0.35855","-0.24271","0.4393","0","0","0","1"
" 15:20:40.143","0.1958","-1.2529","0.8813","-2.3804","2.2583","-0.5493","-51.3226","3.8342","-60.2106","27.22","3.62","-0.78656","0.35928","-0.24319","0.4393","0","0","0","1"
" 15:20:40.155","0.1289","-0.7261","0.7939","-2.1362","1.0986","-2.6245","-51.3666","3.8287","-60.2765","27.18","3.62","-0.78613","0.35947","-0.24356","0.4397","0","0","0","1"
" 15:20:40.176","-0.313","-0.3604","0.3545","-58.7158","19.7754","-7.8735","-52.0477","3.8892","-60.6006","27.29","3.62","-0.78287","0.36316","-0.24759","0.44025","0","0","0","1"
" 15:20:40.197","-0.3125","-0.7583","0.6177","-75.5615","-8.1787","7.019","-53.5034","3.8727","-60.6061","27.24","3.62","-0.77814","0.37317","-0.25308","0.43713","0","0","0","1"
" 15:20:40.227","-0.0811","-0.5562","0.4785","-112.6099","-21.4233","2.2583","-55.3546","3.7518","-60.2161","27.24","3.62","-0.77325","0.38702","-0.25797","0.43082","0","0","0","1"
" 15:20:40.248","0.0708","-0.8755","0.603","-124.2676","-10.437","-6.7749","-57.7332","3.5211","-59.9799","27.17","3.62","-0.7655","0.40445","-0.2645","0.42468","0","0","0","1"
" 15:20:40.320","-0.0112","-1.0127","0.5884","-103.6987","3.2959","0.9766","-59.848","3.4662","-59.9634","27.3","3.62","-0.75784","0.41879","-0.27188","0.4198","0","0","0","1"
" 15:20:40.320","-0.0674","-0.7217","0.543","-99.7925","5.9204","3.7842","-61.7212","3.576","-59.9689","27.24","3.62","-0.7511","0.43066","-0.27945","0.41492","0","0","0","1"
" 15:20:40.320","-0.1587","-0.5078","0.4312","-130.3711","2.9297","-3.479","-63.9459","3.62","-59.9744","27.24","3.62","-0.74268","0.44498","-0.28775","0.40924","0","0","0","1"
" 15:20:40.320","-0.0684","-1.2354","0.3013","-127.5635","-4.6997","-8.9111","-66.5112","3.4827","-59.903","27.17","3.62","-0.73248","0.46222","-0.29568","0.40283","0","0","0","1"
" 15:20:40.336","-0.0151","-1.4668","0.2524","-71.8994","-5.249","-0.9155","-68.2855","3.3728","-59.6942","27.27","3.62","-0.72571","0.47446","-0.30032","0.3974","0","0","0","1"
" 15:20:40.355","-0.0811","-1.0581","0.2646","-30.3955","-1.5259","4.2114","-69.082","3.4167","-59.48","27.28","3.62","-0.72324","0.47989","-0.30246","0.39377","0","0","0","1"
" 15:20:40.377","-0.0908","-0.6191","0.3252","-54.3213","-7.2632","4.0283","-69.8456","3.4717","-59.1943","27.27","3.62","-0.7211","0.48526","-0.30423","0.38968","0","0","0","1"
" 15:20:40.395","-0.0581","-0.7661","0.4048","-77.0874","-4.6997","0.5493","-71.1804","3.4772","-58.8977","27.21","3.62","-0.71643","0.49438","-0.30753","0.38422","0","0","0","1"
" 15:20:40.415","0.0322","-1.0132","0.3462","-78.4302","-4.7607","0.7324","-72.6855","3.4607","-58.6395","27.31","3.62","-0.71069","0.50452","-0.31131","0.37863","0","0","0","1"
" 15:20:40.437","0.1143","-1.3896","0.2598","-56.5186","-4.0283","8.9722","-73.949","3.5321","-58.3429","27.16","3.62","-0.70624","0.51288","-0.31454","0.37299","0","0","0","1"
" 15:20:40.455","-0.1357","-0.9663","0.2202","-32.8369","-0.1831","12.6343","-74.6356","3.7408","-58.0682","27.26","3.62","-0.70453","0.51715","-0.31677","0.36844","0","0","0","1"
" 15:20:40.508","-0.2109","-0.5664","0.2251","-63.5986","-6.4697","10.376","-75.5585","3.9331","-57.7441","27.19","3.62","-0.70184","0.52301","-0.3194","0.36298","0","0","0","1"
" 15:20:40.508","-0.1592","-0.5278","0.1987","-115.6006","-14.3433","9.3384","-77.3987","4.0869","-57.2772","27.18","3.62","-0.69516","0.53503","-0.32388","0.35422","0","0","0","1"
" 15:20:40.519","-0.1313","-1.0293","0.0889","-141.6016","-22.4609","8.8501","-80.0024","4.2133","-56.662","27.27","3.62","-0.68497","0.55203","-0.32965","0.34247","0","0","0","1"
" 15:20:40.536","0.082","-1.6816","0.0815","-93.0786","-23.4375","16.4795","-82.1997","4.422","-55.9369","27.13","3.62","-0.67688","0.5665","-0.33377","0.33072","0","0","0","1"
" 15:20:40.554","-0.0117","-1.5542","0.1045","-24.4141","-11.7188","23.1934","-83.0676","4.801","-55.3436","27.24","3.62","-0.6752","0.57211","-0.33545","0.32272","0","0","0","1"
" 15:20:40.614","-0.1494","-0.8896","0.1001","2.6855","-7.2632","21.7285","-83.0402","5.213","-54.9316","27.2","3.62","-0.67752","0.57181","-0.33563","0.31821","0","0","0","1"
" 15:20:40.635","-0.2515","-0.522","0.0776","-51.5747","-21.4233","16.3574","-83.5236","5.5481","-54.3713","27.17","3.62","-0.67743","0.57526","-0.33603","0.31171","0","0","0","1"
