Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),q0,q1,q2,q3
18:41:03.429,1.7451,-0.0547,-1.0171,1.5869,60.3027,-6.4697,-174.4244,-38.0072,7.3499,0.06668,-0.94138,-0.07632,-0.32166
18:41:03.475,2.0229,0.0864,-0.6572,-11.1694,176.3306,6.958,-174.2267,-40.6439,7.1356,0.06866,-0.93362,-0.07571,-0.34323
18:41:03.483,1.7715,0.0894,-0.7192,-35.6445,296.0815,23.1934,-173.9191,-45.7526,6.1743,0.06967,-0.91754,-0.07013,-0.38501
18:41:03.509,0.9766,-0.1104,-0.9702,-42.1753,352.2339,36.377,-173.1445,-52.4597,4.3286,0.07025,-0.89374,-0.06021,-0.43884
18:41:03.537,0.3198,-0.1196,-1.1016,-16.1743,299.4385,51.0254,-171.1395,-58.7933,1.4502,0.07346,-0.86804,-0.04889,-0.48849
18:41:03.563,0.5239,0.1533,-0.4844,-7.7515,209.5337,56.4575,-167.8601,-63.1604,-2.2961,0.07956,-0.84802,-0.03833,-0.52246
18:41:03.563,0.6494,-0.2271,-0.3091,-4.8828,161.1938,48.645,-164.35,-66.1707,-6.1798,0.08469,-0.83282,-0.02939,-0.54614
18:41:03.569,0.1284,-0.2646,0.0405,2.0142,113.9526,39.2456,-160.7245,-68.291,-9.9976,0.08978,-0.82098,-0.02249,-0.56332
18:41:03.589,-0.0498,-0.0635,0.187,2.4414,17.2119,16.3574,-158.7579,-68.9392,-11.9037,0.09338,-0.81671,-0.01968,-0.569
18:41:03.680,0.186,-0.1113,0.0059,-0.8545,-58.2275,-8.728,-159.538,-68.1152,-10.9424,0.0939,-0.82101,-0.02127,-0.56262
18:41:03.681,1.1313,-0.0669,-0.0293,-4.6997,-86.3647,2.1362,-161.1145,-66.4783,-9.0912,0.09387,-0.82953,-0.0242,-0.54987
18:41:03.681,1.2842,-0.0361,-0.1509,-21.4844,-26.6113,-14.4653,-162.5098,-65.5115,-7.641,0.09189,-0.83478,-0.02664,-0.54211
18:41:03.681,0.8535,-0.0986,-0.2334,-34.4238,31.0669,-39.1846,-164.2126,-65.9729,-6.1688,0.08597,-0.83362,-0.02991,-0.54468
18:41:03.706,0.7964,-0.1733,-0.2671,-26.7944,47.0581,-57.0068,-166.6022,-67.1375,-3.9331,0.07825,-0.82922,-0.03601,-0.55215
18:41:03.708,0.9033,-0.3374,-0.437,-13.9771,19.4092,-45.7153,-168.9697,-67.9779,-1.4996,0.07233,-0.8259,-0.04285,-0.55743
18:41:03.726,0.9985,-0.1909,-0.4595,5.188,-2.9907,-39.856,-170.8813,-68.2306,0.791,0.06964,-0.82492,-0.05029,-0.55859
18:41:03.750,1.5073,-0.0146,-0.187,5.7983,-2.8687,-20.3857,-172.0239,-68.1537,2.45,0.06952,-0.82523,-0.05661,-0.55756
18:41:03.774,1.5864,-0.0278,-0.3926,2.1973,25.3296,-5.7983,-172.381,-68.5052,3.1476,0.07031,-0.82333,-0.06003,-0.55988
18:41:03.787,2.0938,0.0596,-0.2739,2.3804,68.9697,19.5923,-171.3702,-69.4666,2.417,0.07379,-0.81836,-0.06015,-0.56668
18:41:03.832,2.1963,-0.0181,-0.4336,-1.5259,197.3267,42.5415,-167.7612,-72.2791,-1.1206,0.08029,-0.8035,-0.05496,-0.58719
